surface,ranking,player_name,matches_played,match_record,match_win_pct,service_points_won,service_points_won_in_play,total_aces,ace_pct,double_faults,double_fault_pct,double_fault_per_second_serve,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,second_serve_win_pct_in_play,service_hold_pct,points_per_service_game,points_lost_per_service_game
hard,1,Jannik Sinner [ITA],40,38-2,95.00%,71.30%,69.50%,341,11.30%,73,2.40%,6.00%,59.70%,79.40%,59.20%,63.00%,91.80%,6,1.7
hard,2,Carlos Alcaraz [ESP],41,31-10,75.60%,69.20%,68.90%,230,8.20%,93,3.30%,9.20%,63.80%,75.60%,57.90%,63.70%,87.40%,5.9,1.8
hard,3,Alexander Zverev [GER],43,32-11,74.40%,70.40%,68.70%,415,12.50%,107,3.20%,10.30%,68.60%,77.10%,55.60%,62.00%,89.70%,6,1.8
hard,4,Jack Draper [GBR],40,30-10,75.00%,66.80%,65.40%,353,11.20%,119,3.80%,9.70%,60.90%,76.00%,52.50%,58.10%,85.10%,6.2,2.1
hard,5,Taylor Fritz [USA],45,30-15,66.70%,70.00%,67.60%,453,12.90%,93,2.70%,7.30%,63.60%,78.30%,55.40%,59.80%,90.10%,6,1.8
hard,6,Novak Djokovic [SRB],27,20-7,74.10%,69.40%,68.50%,201,10.50%,67,3.50%,10.20%,65.40%,76.70%,55.70%,62.00%,89.40%,6.2,1.9
hard,7,Lorenzo Musetti [ITA],27,15-12,55.60%,63.10%,63.30%,121,5.00%,79,3.30%,9.00%,64.00%,69.30%,51.90%,57.10%,77.00%,6.4,2.4
hard,8,Holger Rune [DEN],44,29-15,65.90%,66.00%,66.00%,231,7.30%,121,3.80%,9.70%,60.70%,73.20%,54.70%,60.60%,83.20%,6.2,2.1
hard,9,Daniil Medvedev [RUS],38,23-15,60.50%,64.60%,65.20%,274,9.90%,172,6.20%,15.30%,59.20%,74.80%,49.80%,58.80%,80.40%,6.3,2.2
hard,10,Ben Shelton [USA],45,28-17,62.20%,69.80%,68.40%,435,11.30%,119,3.10%,9.80%,68.30%,76.00%,56.50%,62.60%,90.60%,6.3,1.9
hard,11,Alex De Minaur [AUS],43,28-15,65.10%,65.00%,65.60%,198,6.30%,131,4.20%,8.90%,53.40%,74.20%,54.50%,59.90%,82.00%,6.1,2.1
hard,12,Frances Tiafoe [USA],39,23-16,59.00%,66.30%,64.60%,370,10.50%,113,3.20%,7.60%,57.90%,75.50%,53.60%,58.00%,83.80%,6.5,2.2
hard,13,Tommy Paul [USA],36,24-12,66.70%,64.90%,63.70%,231,7.80%,76,2.60%,6.60%,60.80%,72.30%,53.50%,57.20%,82.30%,6.4,2.3
hard,14,Andrey Rublev [RUS],45,26-19,57.80%,67.60%,65.90%,399,11.60%,115,3.30%,8.90%,62.40%,76.90%,52.20%,57.30%,85.00%,6.1,2
hard,15,Casper Ruud [NOR],36,20-16,55.60%,65.70%,65.00%,208,8.20%,87,3.40%,10.50%,67.50%,72.10%,52.20%,58.40%,82.90%,6.2,2.1
hard,16,Arthur Fils [FRA],41,25-16,61.00%,66.40%,65.70%,302,9.30%,123,3.80%,9.80%,61.00%,76.50%,50.60%,56.10%,82.90%,6.2,2.1
hard,17,Jakub Mensik [CZE],37,23-14,62.20%,65.60%,62.50%,537,15.90%,156,4.60%,11.60%,60.20%,77.90%,46.80%,53.00%,83.60%,6.6,2.3
hard,18,Ugo Humbert [FRA],38,25-13,65.80%,67.50%,66.00%,300,10.60%,89,3.10%,8.00%,60.80%,75.90%,54.50%,59.20%,86.40%,6.1,2
hard,19,Francisco Cerundolo [ARG],33,19-14,57.60%,62.90%,63.80%,129,5.10%,108,4.20%,10.60%,60.10%,70.00%,52.20%,58.40%,79.40%,6.6,2.4
hard,20,Karen Khachanov [RUS],37,21-16,56.80%,66.50%,64.80%,260,9.30%,70,2.50%,6.80%,63.30%,74.70%,52.30%,56.20%,81.80%,6.1,2.1
hard,21,Grigor Dimitrov [BUL],36,23-13,63.90%,67.20%,67.40%,285,10.60%,147,5.50%,13.50%,59.60%,78.60%,50.30%,58.10%,84.30%,6.3,2.1
hard,22,Alexei Popyrin [AUS],30,16-14,53.30%,65.20%,63.50%,272,11.50%,95,4.00%,10.30%,61.10%,76.10%,48.00%,53.50%,82.60%,6.5,2.3
hard,23,Tomas Machac [CZE],42,27-15,64.30%,65.60%,65.70%,254,8.40%,139,4.60%,11.70%,60.90%,73.70%,52.80%,59.90%,83.10%,6.3,2.2
hard,24,Flavio Cobolli [ITA],32,16-16,50.00%,62.20%,62.30%,179,6.90%,112,4.30%,9.50%,54.80%,72.00%,50.50%,55.80%,77.10%,6.7,2.5
hard,25,Jiri Lehecka [CZE],42,26-16,61.90%,66.00%,64.20%,337,11.00%,104,3.40%,8.40%,59.80%,75.60%,51.70%,56.50%,85.00%,6.4,2.2
hard,26,Stefanos Tsitsipas [GRE],35,21-14,60.00%,67.70%,67.10%,255,9.40%,104,3.80%,9.70%,60.80%,76.60%,53.80%,59.60%,86.00%,6.1,2
hard,27,Alejandro Davidovich Fokina [ESP],39,22-17,56.40%,62.10%,62.10%,170,5.20%,100,3.10%,9.10%,66.40%,67.60%,51.30%,56.50%,77.50%,6.6,2.5
hard,28,Felix Auger Aliassime [CAN],38,24-14,63.20%,67.20%,65.70%,386,13.10%,131,4.50%,13.10%,66.00%,75.30%,51.70%,59.50%,84.90%,6.2,2
hard,29,Tallon Griekspoor [NED],40,22-18,55.00%,67.40%,66.00%,376,11.20%,120,3.60%,10.70%,66.50%,76.10%,50.10%,56.20%,86.50%,6.4,2.1
hard,30,Denis Shapovalov [CAN],39,26-13,66.70%,66.20%,68.10%,313,11.00%,226,7.90%,19.90%,60.10%,76.90%,50.20%,62.60%,84.40%,6.2,2.1
hard,31,Alexander Bublik [KAZ],22,5-17,22.70%,62.70%,62.80%,244,14.70%,146,8.80%,21.20%,58.50%,77.10%,42.40%,53.90%,78.30%,6.7,2.5
hard,32,Alex Michelsen [USA],48,29-19,60.40%,64.20%,63.70%,244,6.70%,115,3.20%,9.50%,66.70%,71.10%,50.20%,55.50%,80.70%,6.5,2.3
hard,33,Sebastian Korda [USA],23,15-8,65.20%,66.00%,64.10%,175,10.30%,47,2.80%,7.00%,60.60%,73.90%,53.90%,58.00%,84.40%,6.2,2.1
hard,34,Brandon Nakashima [USA],45,25-20,55.60%,68.70%,65.40%,403,12.40%,50,1.50%,4.50%,66.10%,75.80%,54.80%,57.40%,87.60%,6.1,1.9
hard,35,Matteo Berrettini [ITA],34,20-14,58.80%,69.40%,65.70%,381,14.30%,49,1.80%,5.80%,68.30%,77.40%,52.20%,55.40%,88.20%,6.2,1.9
hard,36,Giovanni Mpetshi Perricard [FRA],27,14-13,51.90%,70.90%,68.90%,458,22.00%,145,7.00%,18.70%,62.60%,80.40%,55.10%,67.70%,91.50%,6.3,1.8
hard,37,Nuno Borges [POR],31,16-15,51.60%,63.70%,63.60%,181,6.70%,100,3.70%,10.50%,64.60%,69.90%,52.50%,58.60%,79.00%,6.4,2.3
hard,38,Sebastian Baez [ARG],15,2-13,13.30%,57.00%,57.80%,18,1.50%,31,2.60%,9.10%,71.30%,62.00%,44.40%,48.90%,65.00%,6.6,2.8
hard,39,Hubert Hurkacz [POL],25,13-12,52.00%,67.60%,63.70%,296,15.10%,47,2.40%,6.20%,61.50%,76.50%,53.40%,56.90%,86.00%,6.1,2
hard,40,Gabriel Diallo [CAN],23,11-12,47.80%,63.10%,61.30%,190,9.90%,62,3.20%,9.90%,67.30%,71.00%,46.90%,52.00%,79.90%,6.6,2.4
hard,41,Alexandre Muller [FRA],21,11-10,52.40%,62.50%,61.80%,84,4.80%,33,1.90%,6.00%,68.20%,68.60%,49.30%,52.40%,76.10%,6.5,2.4
hard,42,Roberto Bautista Agut [ESP],25,11-14,44.00%,62.00%,62.80%,73,3.60%,69,3.40%,10.00%,66.20%,68.30%,49.60%,55.20%,77.40%,6.7,2.5
hard,43,Matteo Arnaldi [ITA],30,16-14,53.30%,62.70%,62.40%,202,8.00%,108,4.30%,9.80%,56.40%,72.00%,50.80%,56.30%,78.70%,6.5,2.4
hard,44,Jordan Thompson [AUS],32,20-12,62.50%,65.70%,62.80%,260,10.90%,43,1.80%,4.40%,59.20%,74.60%,52.80%,55.20%,80.90%,6.1,2.1
hard,45,Marcos Giron [USA],31,17-14,54.80%,63.70%,62.20%,171,7.00%,45,1.80%,4.60%,59.80%,72.30%,50.90%,53.30%,79.80%,6.4,2.3
hard,46,Quentin Halys [FRA],21,9-12,42.90%,66.30%,63.40%,280,15.50%,80,4.40%,10.90%,59.50%,78.10%,48.80%,54.80%,85.10%,6.4,2.2
hard,47,Lorenzo Sonego [ITA],32,15-17,46.90%,66.40%,65.10%,213,8.10%,60,2.30%,6.80%,66.10%,74.20%,51.20%,55.00%,85.40%,6.3,2.1
hard,48,Gael Monfils [FRA],31,21-10,67.70%,67.00%,67.20%,305,11.40%,157,5.90%,14.80%,60.30%,77.20%,51.40%,60.30%,85.50%,6.3,2.1
hard,49,Miomir Kecmanovic [SRB],39,20-19,51.30%,64.90%,64.50%,178,6.00%,81,2.70%,7.00%,61.10%,73.60%,51.30%,55.10%,81.20%,6.3,2.2
hard,50,Zizou Bergs [BEL],42,26-16,61.90%,65.10%,64.30%,277,9.20%,116,3.80%,9.60%,59.80%,73.90%,52.00%,57.50%,81.20%,6.2,2.2
clay,1,Jannik Sinner [ITA],13,11-2,84.60%,68.60%,67.50%,51,5.00%,8,0.80%,2.10%,61.90%,74.10%,59.60%,60.90%,88.00%,6.1,1.9
clay,2,Carlos Alcaraz [ESP],29,27-2,93.10%,65.40%,66.10%,74,3.30%,62,2.80%,8.30%,66.60%,69.70%,56.90%,62.00%,85.30%,6.5,2.2
clay,3,Alexander Zverev [GER],34,25-9,73.50%,67.40%,66.80%,178,8.00%,66,3.00%,9.80%,69.70%,73.20%,54.20%,60.20%,84.90%,6.1,2
clay,4,Jack Draper [GBR],18,13-5,72.20%,68.70%,68.80%,97,7.80%,46,3.70%,10.60%,65.00%,74.90%,57.20%,64.00%,84.90%,5.9,1.8
clay,5,Taylor Fritz [USA],10,5-5,50.00%,69.10%,66.10%,82,11.60%,10,1.40%,4.20%,66.10%,77.60%,52.50%,54.80%,84.90%,6,1.8
clay,6,Novak Djokovic [SRB],18,15-3,83.30%,69.70%,69.00%,86,6.40%,25,1.90%,5.60%,66.70%,75.40%,58.30%,61.70%,88.20%,6.1,1.9
clay,7,Lorenzo Musetti [ITA],33,27-6,81.80%,64.60%,64.20%,84,3.50%,35,1.50%,4.60%,68.10%,69.60%,53.70%,56.30%,81.80%,6.2,2.2
clay,8,Holger Rune [DEN],17,11-6,64.70%,63.70%,63.70%,52,3.80%,30,2.20%,6.20%,64.30%,69.30%,53.70%,57.20%,83.30%,6.5,2.4
clay,9,Daniil Medvedev [RUS],13,8-5,61.50%,61.80%,62.20%,58,6.20%,42,4.50%,11.80%,61.90%,71.10%,46.60%,52.90%,75.00%,6.5,2.5
clay,10,Ben Shelton [USA],12,7-5,58.30%,64.30%,64.40%,78,7.70%,44,4.40%,11.50%,62.20%,70.70%,53.80%,60.80%,77.30%,6.2,2.2
clay,11,Alex De Minaur [AUS],15,10-5,66.70%,64.90%,66.20%,32,3.20%,35,3.50%,7.40%,53.20%,73.80%,54.90%,59.30%,80.50%,6.1,2.1
clay,12,Frances Tiafoe [USA],18,11-7,61.10%,65.40%,64.40%,94,7.00%,31,2.30%,5.40%,57.40%,72.80%,55.40%,58.60%,79.80%,6,2.1
clay,13,Tommy Paul [USA],20,15-5,75.00%,63.60%,63.30%,78,4.50%,36,2.10%,6.00%,64.80%,70.00%,51.80%,55.10%,79.70%,6.6,2.4
clay,14,Andrey Rublev [RUS],18,10-8,55.60%,63.50%,62.40%,102,7.50%,38,2.80%,6.80%,58.60%,73.20%,49.70%,53.40%,78.80%,6.2,2.3
clay,15,Casper Ruud [NOR],22,16-6,72.70%,65.10%,65.30%,95,6.10%,55,3.50%,10.00%,64.60%,71.10%,54.10%,60.10%,82.20%,6.4,2.2
clay,16,Arthur Fils [FRA],20,15-5,75.00%,64.90%,65.50%,58,3.80%,45,3.00%,8.30%,64.20%,70.80%,54.30%,59.20%,84.70%,6.6,2.3
clay,17,Jakub Mensik [CZE],16,10-6,62.50%,66.60%,65.00%,139,11.60%,45,3.80%,9.90%,62.10%,75.60%,51.90%,57.60%,85.20%,6.1,2
clay,18,Ugo Humbert [FRA],10,3-7,30.00%,62.90%,62.50%,53,6.30%,27,3.20%,8.00%,60.00%,69.70%,52.70%,57.20%,77.70%,6.5,2.4
clay,19,Francisco Cerundolo [ARG],38,27-11,71.10%,64.10%,65.10%,121,4.50%,105,3.90%,10.70%,63.80%,69.70%,54.30%,60.80%,80.10%,6.5,2.3
clay,20,Karen Khachanov [RUS],15,9-6,60.00%,62.30%,62.00%,67,5.00%,33,2.50%,6.80%,63.70%,69.00%,50.60%,54.30%,75.60%,6.2,2.3
clay,21,Grigor Dimitrov [BUL],9,5-4,55.60%,62.20%,62.20%,54,8.30%,33,5.10%,11.70%,56.60%,72.30%,48.90%,55.40%,75.70%,6.3,2.4
clay,22,Alexei Popyrin [AUS],19,11-8,57.90%,64.70%,63.60%,130,9.20%,49,3.50%,10.00%,65.40%,73.50%,48.20%,53.50%,81.10%,6.5,2.3
clay,23,Tomas Machac [CZE],10,3-7,30.00%,59.50%,59.20%,42,5.60%,26,3.50%,9.80%,64.70%,65.60%,48.30%,53.60%,70.00%,6.3,2.5
clay,24,Flavio Cobolli [ITA],23,16-7,69.60%,60.60%,61.70%,59,3.40%,67,3.80%,8.60%,55.40%,65.70%,54.20%,59.30%,76.20%,6.7,2.7
clay,25,Jiri Lehecka [CZE],10,5-5,50.00%,60.60%,59.20%,57,7.10%,21,2.60%,7.10%,63.30%,67.40%,48.80%,52.60%,73.20%,6.5,2.6
clay,26,Stefanos Tsitsipas [GRE],19,12-7,63.20%,66.10%,66.90%,86,6.40%,59,4.40%,11.00%,60.20%,73.40%,54.90%,61.70%,84.50%,6.3,2.2
clay,27,Alejandro Davidovich Fokina [ESP],15,9-6,60.00%,60.50%,60.80%,30,2.50%,24,2.00%,6.20%,67.70%,65.10%,51.00%,54.40%,74.70%,6.7,2.7
clay,28,Felix Auger Aliassime [CAN],16,8-8,50.00%,66.90%,66.30%,106,9.10%,43,3.70%,11.00%,66.30%,74.60%,51.70%,58.00%,83.20%,6.5,2.1
clay,29,Tallon Griekspoor [NED],19,11-8,57.90%,67.20%,66.50%,133,9.00%,51,3.50%,9.90%,65.30%,75.40%,51.70%,57.40%,84.10%,6.2,2
clay,30,Denis Shapovalov [CAN],7,2-5,28.60%,63.20%,65.10%,39,7.30%,37,6.90%,17.10%,59.60%,71.20%,51.40%,62.00%,82.10%,6.4,2.3
clay,31,Alexander Bublik [KAZ],14,8-6,57.10%,65.20%,65.50%,133,11.00%,75,6.20%,16.90%,63.30%,74.70%,48.80%,58.70%,81.50%,6.4,2.2
clay,32,Alex Michelsen [USA],7,2-5,28.60%,58.60%,58.80%,23,4.50%,18,3.50%,10.70%,67.10%,66.10%,43.20%,48.30%,69.60%,6.5,2.7
clay,33,Sebastian Korda [USA],10,5-5,50.00%,65.40%,64.50%,54,6.90%,19,2.40%,6.30%,61.10%,70.20%,57.90%,61.80%,82.80%,6.4,2.2
clay,34,Brandon Nakashima [USA],12,5-7,41.70%,59.80%,57.30%,69,7.70%,13,1.40%,4.10%,64.30%,67.20%,46.30%,48.20%,71.80%,6.3,2.5
clay,35,Matteo Berrettini [ITA],17,14-3,82.40%,71.60%,70.10%,108,9.90%,22,2.00%,7.10%,71.80%,78.60%,53.90%,58.00%,90.60%,6,1.7
clay,36,Giovanni Mpetshi Perricard [FRA],8,2-6,25.00%,64.80%,64.10%,67,9.60%,30,4.30%,12.30%,65.10%,71.60%,52.00%,59.30%,82.40%,6.5,2.3
clay,37,Nuno Borges [POR],21,13-8,61.90%,62.60%,62.00%,91,6.00%,41,2.70%,8.20%,67.10%,69.60%,48.30%,52.60%,78.50%,6.5,2.4
clay,38,Sebastian Baez [ARG],31,19-12,61.30%,60.20%,60.30%,76,3.10%,54,2.20%,7.90%,72.10%,63.70%,51.30%,55.70%,72.90%,6.6,2.6
clay,39,Hubert Hurkacz [POL],11,7-4,63.60%,66.70%,63.30%,102,12.50%,15,1.80%,5.10%,63.80%,75.90%,50.50%,53.20%,85.50%,6.2,2.1
clay,40,Gabriel Diallo [CAN],10,6-4,60.00%,66.80%,66.20%,59,7.00%,22,2.60%,7.90%,67.10%,71.90%,56.50%,61.30%,83.00%,6,2
clay,41,Alexandre Muller [FRA],23,12-11,52.20%,60.60%,60.90%,66,3.40%,51,2.60%,8.00%,67.10%,66.40%,48.70%,53.00%,74.60%,6.7,2.6
clay,42,Roberto Bautista Agut [ESP],13,6-7,46.20%,59.20%,59.90%,17,1.80%,23,2.40%,6.10%,60.80%,65.50%,49.50%,52.70%,71.90%,6.6,2.7
clay,43,Matteo Arnaldi [ITA],17,8-9,47.10%,59.70%,58.90%,99,6.90%,50,3.50%,7.80%,55.60%,69.50%,47.30%,51.40%,74.30%,6.7,2.7
clay,44,Jordan Thompson [AUS],5,2-3,40.00%,62.90%,62.70%,17,4.50%,9,2.40%,5.70%,58.40%,68.00%,55.70%,59.10%,71.90%,5.9,2.2
