surface,ranking,player_name,matches_played,match_record,match_win_pct,service_points_won,service_points_won_in_play,total_aces,ace_pct,double_faults,double_fault_pct,double_fault_per_second_serve,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,second_serve_win_pct_in_play,service_hold_pct,points_per_service_game,points_lost_per_service_game
clay,45,Marcos Giron [USA],11,4-7,36.40%,60.50%,59.70%,50,5.30%,21,2.20%,5.20%,57.70%,68.80%,49.30%,52.00%,75.00%,7,2.8
clay,46,Quentin Halys [FRA],12,7-5,58.30%,66.80%,67.00%,114,11.40%,59,5.90%,12.60%,52.90%,78.20%,54.00%,61.80%,84.30%,6.3,2.1
clay,47,Lorenzo Sonego [ITA],9,3-6,33.30%,63.00%,64.00%,28,3.80%,27,3.60%,10.30%,64.60%,70.00%,50.20%,55.90%,78.20%,6.2,2.3
clay,48,Gael Monfils [FRA],7,3-4,42.90%,58.40%,57.10%,58,8.80%,29,4.40%,10.80%,59.50%,68.20%,44.00%,49.40%,71.90%,6.9,2.9
clay,49,Miomir Kecmanovic [SRB],8,2-6,25.00%,62.20%,62.10%,31,3.70%,17,2.00%,5.20%,60.90%,68.30%,52.80%,55.70%,80.80%,6.7,2.5
clay,50,Zizou Bergs [BEL],8,2-6,25.00%,61.70%,62.20%,35,5.70%,27,4.40%,11.70%,62.60%,68.20%,50.60%,57.40%,76.30%,6.6,2.5
grass,1,Jannik Sinner [ITA],2,1-1,50.00%,69.70%,67.70%,16,10.50%,3,2.00%,5.90%,66.40%,80.20%,49.00%,52.10%,92.00%,6.1,1.8
grass,2,Carlos Alcaraz [ESP],5,5-0,100.00%,74.00%,73.30%,60,15.40%,18,4.60%,12.00%,61.40%,82.00%,61.30%,69.70%,96.90%,6,1.6
grass,3,Alexander Zverev [GER],8,6-2,75.00%,72.00%,69.80%,66,11.10%,10,1.70%,7.10%,76.40%,77.90%,52.90%,56.90%,93.60%,6.3,1.8
grass,4,Jack Draper [GBR],4,3-1,75.00%,70.80%,68.60%,50,15.70%,13,4.10%,11.60%,64.80%,82.00%,50.00%,56.60%,92.60%,5.9,1.7
grass,5,Taylor Fritz [USA],9,8-1,88.90%,72.90%,69.10%,115,16.40%,13,1.90%,5.50%,66.00%,80.80%,57.60%,60.90%,93.20%,5.9,1.6
grass,8,Holger Rune [DEN],3,2-1,66.70%,68.10%,68.20%,27,10.60%,13,5.10%,12.40%,58.70%,79.90%,51.40%,58.70%,89.20%,6.9,2.2
grass,9,Daniil Medvedev [RUS],7,5-2,71.40%,70.40%,69.80%,68,13.70%,25,5.00%,14.90%,66.20%,79.00%,53.60%,62.90%,96.20%,6.3,1.9
grass,10,Ben Shelton [USA],5,2-3,40.00%,69.00%,65.80%,76,19.90%,21,5.50%,14.70%,62.50%,78.20%,53.80%,63.10%,94.70%,6.7,2.1
grass,11,Alex De Minaur [AUS],1,0-1,0.00%,57.10%,56.40%,5,7.90%,3,4.80%,10.30%,54.00%,67.60%,44.80%,50.00%,66.70%,7,3
grass,12,Frances Tiafoe [USA],1,0-1,0.00%,53.80%,50.00%,8,12.30%,3,4.60%,9.10%,49.20%,65.60%,42.40%,46.70%,60.00%,6.5,3
grass,13,Tommy Paul [USA],1,0-1,0.00%,58.80%,58.00%,6,6.20%,3,3.10%,6.80%,54.60%,71.70%,43.20%,46.30%,71.40%,6.9,2.9
grass,14,Andrey Rublev [RUS],2,1-1,50.00%,67.60%,66.20%,25,14.70%,9,5.30%,11.50%,54.10%,85.90%,46.20%,52.20%,81.50%,6.3,2
grass,17,Jakub Mensik [CZE],5,2-3,40.00%,62.70%,59.80%,57,14.30%,19,4.80%,11.70%,59.10%,72.00%,49.10%,55.60%,79.70%,6.8,2.5
grass,18,Ugo Humbert [FRA],7,4-3,57.10%,67.30%,67.80%,33,6.60%,19,3.80%,9.80%,61.60%,73.80%,57.00%,63.20%,84.10%,6.1,2
grass,19,Francisco Cerundolo [ARG],1,0-1,0.00%,64.60%,62.90%,6,6.30%,1,1.00%,2.60%,59.40%,73.70%,51.30%,52.60%,80.00%,6.4,2.3
grass,20,Karen Khachanov [RUS],6,4-2,66.70%,70.60%,68.90%,48,10.80%,11,2.50%,6.60%,62.70%,77.80%,58.40%,62.60%,89.50%,5.9,1.7
grass,22,Alexei Popyrin [AUS],3,1-2,33.30%,62.70%,61.20%,33,9.90%,13,3.90%,10.00%,61.20%,72.20%,47.70%,53.00%,78.70%,7.1,2.7
grass,23,Tomas Machac [CZE],3,2-1,66.70%,64.70%,62.90%,20,9.80%,6,2.90%,7.00%,57.80%,73.70%,52.30%,56.30%,79.40%,6,2.1
grass,24,Flavio Cobolli [ITA],4,2-2,50.00%,62.20%,61.80%,21,5.50%,10,2.60%,6.70%,61.20%,69.80%,50.30%,54.00%,77.80%,7.1,2.7
grass,25,Jiri Lehecka [CZE],8,6-2,75.00%,71.80%,69.70%,76,14.90%,18,3.50%,9.10%,61.40%,81.80%,55.80%,61.50%,92.30%,5.6,1.6
grass,26,Stefanos Tsitsipas [GRE],2,1-1,50.00%,68.40%,67.80%,18,10.30%,7,4.00%,10.10%,60.30%,75.20%,58.00%,64.50%,88.90%,6.4,2
grass,27,Alejandro Davidovich Fokina [ESP],4,3-1,75.00%,68.30%,70.00%,14,4.40%,14,4.40%,12.20%,63.50%,75.00%,56.50%,64.40%,89.80%,6.4,2
grass,28,Felix Auger Aliassime [CAN],8,5-3,62.50%,73.40%,70.10%,95,18.30%,16,3.10%,9.00%,65.70%,82.10%,56.70%,62.30%,89.20%,5.6,1.5
grass,29,Tallon Griekspoor [NED],4,4-0,100.00%,70.70%,70.30%,20,7.30%,7,2.60%,7.60%,66.30%,76.80%,58.70%,63.50%,97.70%,6.3,1.9
grass,30,Denis Shapovalov [CAN],3,1-2,33.30%,58.60%,60.20%,20,6.90%,21,7.20%,17.50%,58.60%,63.50%,51.70%,62.60%,75.60%,6.4,2.7
grass,31,Alexander Bublik [KAZ],5,5-0,100.00%,72.80%,70.70%,76,20.10%,20,5.30%,15.50%,66.00%,80.80%,57.40%,67.90%,95.10%,6.2,1.7
grass,32,Alex Michelsen [USA],12,8-4,66.70%,66.40%,66.20%,52,6.20%,24,2.90%,8.50%,66.30%,72.40%,54.60%,59.70%,85.30%,6.1,2.1
grass,34,Brandon Nakashima [USA],8,5-3,62.50%,70.10%,68.20%,58,9.40%,10,1.60%,5.00%,67.40%,74.90%,60.20%,63.40%,88.10%,6.1,1.8
grass,36,Giovanni Mpetshi Perricard [FRA],3,1-2,33.30%,68.60%,64.80%,57,18.60%,13,4.20%,12.70%,66.70%,79.90%,46.10%,52.80%,83.70%,7.1,2.2
grass,37,Nuno Borges [POR],5,2-3,40.00%,65.20%,61.50%,43,11.80%,5,1.40%,4.40%,69.00%,70.20%,54.00%,56.50%,78.00%,6.2,2.2
grass,39,Hubert Hurkacz [POL],1,1-0,100.00%,78.80%,75.00%,16,24.20%,2,3.00%,9.50%,68.20%,88.90%,57.10%,63.20%,100.00%,6,1.3
grass,40,Gabriel Diallo [CAN],11,8-3,72.70%,69.20%,66.60%,110,13.50%,23,2.80%,8.20%,65.30%,76.10%,56.40%,61.40%,90.70%,6.3,1.9
grass,41,Alexandre Muller [FRA],2,0-2,0.00%,62.60%,61.80%,11,7.90%,5,3.60%,9.80%,63.30%,71.60%,47.10%,52.20%,77.30%,6.3,2.4
grass,42,Roberto Bautista Agut [ESP],8,5-3,62.50%,68.60%,67.70%,28,4.40%,5,0.80%,3.00%,73.20%,72.90%,56.80%,58.50%,87.50%,6.1,1.9
grass,43,Matteo Arnaldi [ITA],1,0-1,0.00%,61.50%,62.70%,3,4.60%,3,4.60%,11.10%,58.50%,68.40%,51.90%,58.30%,80.00%,6.5,2.5
grass,44,Jordan Thompson [AUS],3,1-2,33.30%,70.70%,69.40%,16,9.80%,4,2.40%,5.90%,58.50%,77.10%,61.80%,65.60%,86.70%,5.5,1.6
grass,45,Marcos Giron [USA],8,6-2,75.00%,63.70%,62.90%,39,6.30%,15,2.40%,5.80%,58.20%,73.20%,50.40%,53.50%,82.50%,6.4,2.3
grass,46,Quentin Halys [FRA],5,2-3,40.00%,67.10%,65.80%,49,14.80%,19,5.70%,14.00%,58.90%,80.50%,47.80%,55.60%,83.90%,5.9,1.9
grass,47,Lorenzo Sonego [ITA],5,2-3,40.00%,68.80%,69.70%,14,3.80%,11,3.00%,10.30%,71.20%,74.30%,55.10%,61.50%,90.30%,6,1.9
grass,48,Gael Monfils [FRA],2,0-2,0.00%,60.10%,61.30%,19,12.40%,15,9.80%,25.00%,60.80%,72.00%,41.70%,55.60%,75.00%,6.4,2.5
grass,49,Miomir Kecmanovic [SRB],2,0-2,0.00%,63.30%,64.10%,10,5.00%,8,4.00%,12.90%,68.80%,69.30%,50.00%,57.40%,80.00%,6.6,2.4
grass,50,Zizou Bergs [BEL],7,4-3,57.10%,61.50%,63.20%,52,8.00%,48,7.40%,16.20%,54.60%,71.30%,49.70%,59.30%,78.20%,7.5,2.9
all,1,Jannik Sinner [ITA],55,50-5,90.90%,70.50%,68.90%,408,9.80%,84,2.00%,5.10%,60.50%,78.10%,59.00%,62.20%,90.90%,6,1.8
all,2,Carlos Alcaraz [ESP],75,63-12,84.00%,68.00%,68.00%,364,6.70%,173,3.20%,9.00%,64.80%,73.50%,57.80%,63.50%,87.30%,6.1,2
all,3,Alexander Zverev [GER],85,63-22,74.10%,69.50%,68.10%,659,10.80%,183,3.00%,9.90%,69.80%,75.80%,54.90%,60.90%,88.40%,6,1.8
all,4,Jack Draper [GBR],62,46-16,74.20%,67.60%,66.50%,500,10.60%,178,3.80%,10.00%,62.30%,76.10%,53.50%,59.40%,85.50%,6.1,2
all,5,Taylor Fritz [USA],64,43-21,67.20%,70.30%,67.60%,650,13.20%,116,2.40%,6.60%,64.30%,78.50%,55.30%,59.20%,89.80%,6,1.8
all,6,Novak Djokovic [SRB],45,35-10,77.80%,69.50%,68.70%,287,8.80%,92,2.80%,8.30%,65.90%,76.20%,56.70%,61.90%,88.90%,6.1,1.9
all,7,Lorenzo Musetti [ITA],60,42-18,70.00%,63.80%,63.80%,205,4.30%,114,2.40%,7.00%,66.00%,69.50%,52.80%,56.70%,79.40%,6.3,2.3
all,8,Holger Rune [DEN],64,42-22,65.60%,65.40%,65.40%,310,6.50%,164,3.40%,8.90%,61.60%,72.40%,54.30%,59.60%,83.50%,6.3,2.2
all,9,Daniil Medvedev [RUS],58,36-22,62.10%,64.70%,65.00%,400,9.50%,239,5.70%,14.50%,60.60%,74.50%,49.50%,57.90%,81.10%,6.3,2.2
all,10,Ben Shelton [USA],62,37-25,59.70%,68.70%,67.40%,589,11.20%,184,3.50%,10.60%,66.70%,75.20%,55.70%,62.20%,88.30%,6.3,2
all,11,Alex De Minaur [AUS],59,38-21,64.40%,64.90%,65.60%,235,5.60%,169,4.00%,8.60%,53.40%,74.00%,54.50%,59.60%,81.50%,6.1,2.2
all,12,Frances Tiafoe [USA],58,34-24,58.60%,65.90%,64.40%,472,9.60%,147,3.00%,7.00%,57.70%,74.60%,53.90%,58.00%,82.40%,6.3,2.2
all,13,Tommy Paul [USA],57,39-18,68.40%,64.30%,63.40%,315,6.60%,115,2.40%,6.40%,62.10%,71.40%,52.70%,56.20%,81.20%,6.5,2.3
all,14,Andrey Rublev [RUS],65,37-28,56.90%,66.50%,64.90%,526,10.60%,162,3.30%,8.40%,61.10%,76.20%,51.20%,55.90%,83.20%,6.2,2.1
all,15,Casper Ruud [NOR],58,36-22,62.10%,65.40%,65.10%,303,7.40%,142,3.50%,10.30%,66.40%,71.70%,53.00%,59.10%,82.60%,6.3,2.2
all,16,Arthur Fils [FRA],61,40-21,65.60%,65.90%,65.60%,360,7.60%,168,3.50%,9.30%,62.00%,74.60%,51.70%,57.00%,83.40%,6.3,2.2
all,17,Jakub Mensik [CZE],58,35-23,60.30%,65.60%,62.90%,733,14.70%,220,4.40%,11.20%,60.60%,76.90%,48.20%,54.30%,83.70%,6.5,2.2
all,18,Ugo Humbert [FRA],55,32-23,58.20%,66.60%,65.50%,386,9.20%,135,3.20%,8.20%,60.70%,74.40%,54.40%,59.30%,84.40%,6.2,2.1
all,19,Francisco Cerundolo [ARG],72,46-26,63.90%,63.60%,64.40%,256,4.80%,214,4.00%,10.50%,62.00%,69.90%,53.20%,59.40%,79.80%,6.6,2.4
all,20,Karen Khachanov [RUS],58,34-24,58.60%,65.70%,64.40%,375,8.20%,114,2.50%,6.80%,63.40%,73.30%,52.50%,56.30%,80.80%,6.1,2.1
all,21,Grigor Dimitrov [BUL],45,28-17,62.20%,66.20%,66.30%,339,10.20%,180,5.40%,13.20%,59.00%,77.40%,50.00%,57.60%,82.60%,6.3,2.1
all,22,Alexei Popyrin [AUS],52,28-24,53.80%,64.80%,63.40%,435,10.60%,157,3.80%,10.20%,62.60%,74.80%,48.00%,53.50%,81.80%,6.6,2.3
all,23,Tomas Machac [CZE],55,32-23,58.20%,64.40%,64.30%,316,7.90%,171,4.30%,11.10%,61.40%,72.10%,52.00%,58.50%,80.40%,6.3,2.2
all,24,Flavio Cobolli [ITA],59,34-25,57.60%,61.60%,62.00%,259,5.50%,189,4.00%,9.00%,55.50%,69.50%,51.90%,57.00%,76.80%,6.7,2.6
all,25,Jiri Lehecka [CZE],60,37-23,61.70%,65.70%,63.90%,470,10.70%,143,3.30%,8.30%,60.60%,74.70%,51.70%,56.40%,83.90%,6.3,2.2
all,26,Stefanos Tsitsipas [GRE],56,34-22,60.70%,67.20%,67.10%,359,8.50%,170,4.00%,10.20%,60.60%,75.50%,54.30%,60.50%,85.70%,6.2,2
all,27,Alejandro Davidovich Fokina [ESP],58,34-24,58.60%,62.10%,62.20%,214,4.50%,138,2.90%,8.60%,66.50%,67.40%,51.60%,56.50%,77.60%,6.6,2.5
all,28,Felix Auger Aliassime [CAN],62,37-25,59.70%,67.90%,66.30%,587,12.70%,190,4.10%,12.10%,66.00%,75.90%,52.30%,59.50%,85.00%,6.2,2
all,29,Tallon Griekspoor [NED],63,37-26,58.70%,67.50%,66.40%,529,10.40%,178,3.50%,10.30%,66.20%,76.00%,51.00%,56.90%,86.40%,6.4,2.1
all,30,Denis Shapovalov [CAN],49,29-20,59.20%,65.20%,67.00%,372,10.10%,284,7.70%,19.30%,59.90%,75.00%,50.50%,62.50%,83.40%,6.3,2.2
all,31,Alexander Bublik [KAZ],41,18-23,43.90%,64.80%,64.70%,453,14.00%,241,7.40%,19.10%,61.20%,76.70%,46.20%,57.10%,81.60%,6.5,2.3
all,32,Alex Michelsen [USA],67,39-28,58.20%,64.00%,63.60%,319,6.40%,157,3.20%,9.50%,66.70%,70.80%,50.30%,55.50%,80.40%,6.4,2.3
all,33,Sebastian Korda [USA],33,20-13,60.60%,65.80%,64.30%,229,9.20%,66,2.70%,6.80%,60.70%,72.70%,55.20%,59.20%,83.90%,6.3,2.1
all,34,Brandon Nakashima [USA],65,35-30,53.80%,67.20%,64.20%,530,11.10%,73,1.50%,4.50%,65.90%,74.10%,53.80%,56.30%,84.80%,6.2,2
all,35,Matteo Berrettini [ITA],51,34-17,66.70%,70.00%,67.00%,489,13.00%,71,1.90%,6.10%,69.30%,77.70%,52.60%,56.10%,88.90%,6.1,1.8
all,36,Giovanni Mpetshi Perricard [FRA],38,17-21,44.70%,69.30%,67.20%,582,18.90%,188,6.10%,16.70%,63.60%,78.30%,53.60%,64.40%,88.70%,6.4,2
all,37,Nuno Borges [POR],57,31-26,54.40%,63.50%,62.90%,315,6.90%,146,3.20%,9.30%,65.80%,69.80%,51.20%,56.50%,78.80%,6.4,2.4
all,38,Sebastian Baez [ARG],46,21-25,45.70%,59.20%,59.50%,94,2.60%,85,2.30%,8.30%,71.80%,63.20%,49.00%,53.50%,70.30%,6.6,2.7
all,39,Hubert Hurkacz [POL],37,21-16,56.80%,67.60%,63.80%,414,14.60%,64,2.30%,6.00%,62.30%,76.70%,52.70%,56.00%,86.20%,6.1,2
all,40,Gabriel Diallo [CAN],44,25-19,56.80%,65.40%,63.60%,359,10.10%,107,3.00%,9.00%,66.80%,72.30%,51.40%,56.50%,83.20%,6.4,2.2
all,41,Alexandre Muller [FRA],46,23-23,50.00%,61.50%,61.30%,161,4.20%,89,2.30%,7.20%,67.50%,67.60%,48.90%,52.70%,75.40%,6.6,2.5
all,42,Roberto Bautista Agut [ESP],46,22-24,47.80%,62.40%,62.90%,118,3.30%,97,2.70%,7.90%,66.00%,68.50%,50.60%,54.90%,77.80%,6.5,2.5
all,43,Matteo Arnaldi [ITA],48,24-24,50.00%,61.60%,61.10%,304,7.50%,161,4.00%,9.10%,56.20%,71.10%,49.50%,54.50%,77.20%,6.6,2.5
all,44,Jordan Thompson [AUS],40,23-17,57.50%,65.60%,63.20%,293,10.00%,56,1.90%,4.70%,59.00%,73.90%,53.70%,56.30%,80.00%,6,2.1
all,45,Marcos Giron [USA],50,27-23,54.00%,63.00%,61.70%,260,6.50%,81,2.00%,4.90%,59.10%,71.70%,50.40%,53.00%,79.20%,6.5,2.4
all,46,Quentin Halys [FRA],38,18-20,47.40%,66.50%,64.80%,443,14.10%,158,5.00%,11.80%,57.30%,78.40%,50.60%,57.30%,84.70%,6.3,2.1
all,47,Lorenzo Sonego [ITA],46,20-26,43.50%,66.00%,65.30%,255,6.80%,98,2.60%,7.80%,66.30%,73.40%,51.40%,55.70%,84.50%,6.3,2.1
all,48,Gael Monfils [FRA],40,24-16,60.00%,65.10%,65.00%,382,10.90%,201,5.80%,14.40%,60.20%,75.30%,49.60%,57.90%,82.60%,6.4,2.2
all,49,Miomir Kecmanovic [SRB],49,22-27,44.90%,64.30%,64.00%,219,5.50%,106,2.70%,6.90%,61.40%,72.20%,51.50%,55.30%,81.10%,6.4,2.3
all,50,Zizou Bergs [BEL],57,32-25,56.10%,64.10%,63.80%,364,8.50%,191,4.50%,11.00%,59.40%,72.70%,51.40%,57.80%,80.20%,6.4,2.3